number,value,datetime_start,datetime_complete,duration,params_w_knn,params_w_mf,params_w_pop,user_attrs_weights_normalized,state
46,0.03922577978888179,2025-11-17 17:57:14.170905,2025-11-17 17:57:32.110252,0 days 00:00:17.939347,0.15496511444868258,0.9571639494556934,0.0666381537072536,"{'w_mf': 0.8120042152131277, 'w_knn': 0.13146371237118948, 'w_pop': 0.056532072415682824}",COMPLETE
47,0.039990616124709555,2025-11-17 17:57:32.110252,2025-11-17 17:57:50.904857,0 days 00:00:18.794605,0.06790887401747077,0.6711047266158928,0.19328736103237226,"{'w_mf': 0.7198369992205462, 'w_knn': 0.07284007719582145, 'w_pop': 0.2073229235836323}",COMPLETE
48,0.04044636820915302,2025-11-17 17:57:50.905899,2025-11-17 17:58:08.705876,0 days 00:00:17.799977,0.26838477206276534,0.9307620268407117,0.04741258703084337,"{'w_mf': 0.7466648098302093, 'w_knn': 0.21530043020100947, 'w_pop': 0.03803475996878137}",COMPLETE
49,0.036062894970810035,2025-11-17 17:58:08.707136,2025-11-17 17:58:26.450512,0 days 00:00:17.743376,0.4431155424073945,0.862205132199744,0.13748930798224282,"{'w_mf': 0.5975874457510768, 'w_knn': 0.30711982018043993, 'w_pop': 0.09529273406848321}",COMPLETE
50,0.040857249256907126,2025-11-17 17:58:26.451548,2025-11-17 17:58:45.661215,0 days 00:00:19.209667,0.0025754043096931634,0.5475761849459321,0.4586204251401895,"{'w_mf': 0.42290501247091045, 'w_knn': 0.001989040834228331, 'w_pop': 0.3}",COMPLETE
51,0.04132821124907645,2025-11-17 17:58:45.662220,2025-11-17 17:59:03.771033,0 days 00:00:18.108813,0.12167382084745931,0.8132335396656967,0.04344981280839405,"{'w_mf': 0.831223567263013, 'w_knn': 0.12436544052145423, 'w_pop': 0.044410992215532824}",COMPLETE
52,0.06286918385303653,2025-11-17 17:59:03.771033,2025-11-17 17:59:22.166056,0 days 00:00:18.395023,0.05453944777474683,0.7662911593892667,0.00244817353676941,"{'w_mf': 0.9307796791956574, 'w_knn': 0.06624663364738044, 'w_pop': 0.0029736871569621902}",COMPLETE
53,0.039684635285699724,2025-11-17 17:59:22.167103,2025-11-17 17:59:41.380646,0 days 00:00:19.213543,0.0449335457951828,0.757519318728244,0.10575130470825314,"{'w_mf': 0.8340848284908096, 'w_knn': 0.04947515912990749, 'w_pop': 0.11644001237928289}",COMPLETE
54,0.05927163986225061,2025-11-17 17:59:41.381681,2025-11-17 17:59:59.968731,0 days 00:00:18.587050,0.16591272799861606,0.8026532217699287,0.0007739360035208426,"{'w_mf': 0.8280410551048631, 'w_knn': 0.17116052938074336, 'w_pop': 0.0007984155143935023}",COMPLETE
55,0.04058493891642496,2025-11-17 17:59:59.969769,2025-11-17 18:00:18.538395,0 days 00:00:18.568626,0.2019515705168532,0.8954143254032125,0.045150599428642205,"{'w_mf': 0.7837211357985013, 'w_knn': 0.17676031054170074, 'w_pop': 0.03951855365979794}",COMPLETE
56,0.03975928540032219,2025-11-17 18:00:18.539431,2025-11-17 18:00:38.027221,0 days 00:00:19.487790,0.16169980935145412,0.8705652288046104,0.26426819483947567,"{'w_mf': 0.6714561622097696, 'w_knn': 0.12471705717705296, 'w_pop': 0.20382678061317747}",COMPLETE
57,0.057158996968205235,2025-11-17 18:00:38.028259,2025-11-17 18:00:56.373585,0 days 00:00:18.345326,0.29242959848005434,0.7913639224673875,0.0006709182531216057,"{'w_mf': 0.7297278673801039, 'w_knn': 0.26965346940801965, 'w_pop': 0.0006186632118764425}",COMPLETE
58,0.03623262991577489,2025-11-17 18:00:56.374635,2025-11-17 18:01:14.991922,0 days 00:00:18.617287,0.2317011770813454,0.9832866487344173,0.0903224497164585,"{'w_mf': 0.7532972559596962, 'w_knn': 0.17750659090373944, 'w_pop': 0.06919615313656428}",COMPLETE
59,0.04115481182560962,2025-11-17 18:01:14.991922,2025-11-17 18:01:33.595412,0 days 00:00:18.603490,0.06297940167907931,0.92995031433734,0.619014827686666,"{'w_mf': 0.5076682706215916, 'w_knn': 0.03438102384855226, 'w_pop': 0.3}",COMPLETE
60,0.04207340186392883,2025-11-17 18:01:33.596844,2025-11-17 18:01:51.928063,0 days 00:00:18.331219,0.29394021182517466,0.42429259759815974,0.9166882765384775,"{'w_mf': 0.16286923816762483, 'w_knn': 0.11283208483438341, 'w_pop': 0.3}",COMPLETE
61,0.03666204530290222,2025-11-17 18:01:51.928063,2025-11-17 18:02:10.207894,0 days 00:00:18.279831,0.3539340090456791,0.7797468454208645,0.045576310437708024,"{'w_mf': 0.6612186625842338, 'w_knn': 0.30013301557885075, 'w_pop': 0.03864832183691548}",COMPLETE
62,0.05382146351798743,2025-11-17 18:02:10.208938,2025-11-17 18:02:28.527134,0 days 00:00:18.318196,0.4001331506146867,0.8057468978077431,7.148175428583819e-05,"{'w_mf': 0.6681420253181088, 'w_knn': 0.3317987005299067, 'w_pop': 5.927415198466852e-05}",COMPLETE
